sender_account,receiver_account,amount,timestamp
ACC1128,ACC2126,1138.54,2026-08-21T21:40:02.929039+00:00
ACC1138,ACC2102,804.41,2026-08-22T14:28:02.929039+00:00
ACC1127,ACC2142,4461.78,2026-08-21T22:29:02.929039+00:00
ACC1106,ACC2132,3114.56,2026-08-21T16:18:02.929039+00:00
ACC18242,ACC26484,1183.96,2026-08-20T22:43:40.805961+00:00
ACC1136,ACC2146,3115.14,2026-08-23T05:50:02.929039+00:00
ACC1119,ACC2128,1888.88,2026-08-23T10:49:02.929039+00:00
ACC1101,ACC2142,3537.71,2026-08-23T01:36:02.929039+00:00
ACC18113,ACC29921,1359.0,2026-08-22T09:32:40.805961+00:00
ACC1118,ACC2127,1307.03,2026-08-21T23:39:02.929039+00:00
ACC1144,ACC2130,4223.95,2026-08-23T01:20:02.929039+00:00
ACC1118,ACC2140,1128.4,2026-08-22T17:27:02.929039+00:00
ACC1143,ACC2122,4075.57,2026-08-22T08:32:02.929039+00:00
ACC1103,ACC2149,134.26,2026-08-22T23:40:02.929039+00:00
ACC1144,ACC2147,1333.55,2026-08-21T22:23:02.929039+00:00
ACC_LOOP02,ACC_LOOP03,47965.53,2026-08-22T22:49:02.929039+00:00
ACC1120,ACC2129,2326.25,2026-08-21T22:08:02.929039+00:00
ACC1119,ACC2109,586.35,2026-08-22T23:57:02.929039+00:00
ACC_SMURF020,ACC_SHELL01,9899.32,2026-08-22T05:23:17.929039+00:00
ACC1122,ACC2104,808.71,2026-08-22T20:53:02.929039+00:00
ACC1135,ACC2128,3912.29,2026-08-23T00:15:02.929039+00:00
ACC_SMURF003,ACC_SHELL01,8982.93,2026-08-22T04:55:32.929039+00:00
ACC1115,ACC2105,108161.22,2026-08-21T23:39:02.929039+00:00
ACC_SMURF004,ACC_SHELL01,9629.45,2026-08-22T04:41:17.929039+00:00
ACC1142,ACC2129,1811.37,2026-08-22T15:45:02.929039+00:00
ACC18242,ACC21633,805.11,2026-08-23T03:44:40.805961+00:00
ACC1119,ACC2146,3061.33,2026-08-21T15:52:02.929039+00:00
ACC16520,ACC21633,251.22,2026-08-21T21:51:40.805961+00:00
ACC1137,ACC2127,277.58,2026-08-23T14:00:02.929039+00:00
ACC1116,ACC2134,4259.65,2026-08-22T13:46:02.929039+00:00
ACC16316,ACC29921,343.58,2026-08-21T20:18:40.805961+00:00
ACC1112,ACC2139,2860.09,2026-08-22T06:23:02.929039+00:00
ACC1133,ACC2103,3639.6,2026-08-22T12:25:02.929039+00:00
ACC_SMURF002,ACC_SHELL01,9227.65,2026-08-22T04:39:47.929039+00:00
ACC19863,ACC27311,1017.49,2026-08-21T14:09:40.805961+00:00
ACC1111,ACC2108,1469.31,2026-08-22T22:30:02.929039+00:00
ACC1148,ACC2112,2621.39,2026-08-21T19:47:02.929039+00:00
ACC1146,ACC2125,3084.74,2026-08-22T11:04:02.929039+00:00
ACC1116,ACC2143,245866.15,2026-08-23T11:39:02.929039+00:00
ACC1117,ACC2143,277.47,2026-08-22T13:35:02.929039+00:00
ACC1145,ACC2121,1073.68,2026-08-23T02:25:02.929039+00:00
ACC1129,ACC2118,1591.64,2026-08-22T06:58:02.929039+00:00
ACC1136,ACC2132,612.02,2026-08-21T18:26:02.929039+00:00
